wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
321245,85491,0.004,0.004,0.006,199216,128759,225000.0
344209,80440,0.004,0.004,0.009,197072,105797,225000.0
359886,77072,0.004,0.004,0.012,195968,90121,225000.0
371720,72654,0.004,0.004,0.015,196184,78289,225000.0
325078,105167,0.004,0.004413793103448276,0.006,189613,124930,213934.4262295082
346535,88197,0.004,0.004413793103448276,0.009,191378,103472,213934.4262295082
361691,91540,0.004,0.004413793103448276,0.012,188069,88317,213934.4262295082
373047,86935,0.004,0.004413793103448276,0.015,188474,76956,213934.4262295082
328493,133887,0.004,0.004827586206896552,0.006,177461,121512,203906.25000000003
349043,114767,0.004,0.004827586206896552,0.009,179531,100957,203906.25000000003
363554,116793,0.004,0.004827586206896552,0.012,176550,86455,203906.25000000003
374396,105370,0.004,0.004827586206896552,0.015,179342,75610,203906.25000000003
331721,143556,0.004,0.005241379310344827,0.006,171349,118284,194776.1194029851
351385,129317,0.004,0.005241379310344827,0.009,172002,98624,194776.1194029851
365174,139215,0.004,0.005241379310344827,0.012,166245,84834,194776.1194029851
375739,126656,0.004,0.005241379310344827,0.015,169281,74261,194776.1194029851
334880,162632,0.004,0.005655172413793104,0.006,162805,115127,186428.57142857142
353535,150999,0.004,0.005655172413793104,0.009,162355,96474,186428.57142857142
366826,135974,0.004,0.005655172413793104,0.012,165403,83182,186428.57142857142
376930,127423,0.004,0.005655172413793104,0.015,167244,73078,186428.57142857142
337868,175295,0.004,0.006068965517241379,0.006,156113,112137,178767.12328767127
355705,163689,0.004,0.006068965517241379,0.009,155834,94301,178767.12328767127
368313,163020,0.004,0.006068965517241379,0.012,153753,81695,178767.12328767127
378120,156111,0.004,0.006068965517241379,0.015,154827,71888,178767.12328767127
340801,183723,0.004,0.006482758620689655,0.006,150892,109208,171710.52631578947
357534,178086,0.004,0.006482758620689655,0.009,149050,92472,171710.52631578947
370034,173750,0.004,0.006482758620689655,0.012,148109,79972,171710.52631578947
379351,164044,0.004,0.006482758620689655,0.015,150306,70658,171710.52631578947
343577,199142,0.004,0.006896551724137931,0.006,144176,106429,165189.87341772154
359605,183028,0.004,0.006896551724137931,0.009,145319,90404,165189.87341772154
371271,180402,0.004,0.006896551724137931,0.012,144138,78737,165189.87341772154
380423,161771,0.004,0.006896551724137931,0.015,149619,69585,165189.87341772154
346103,205333,0.004,0.007310344827586207,0.006,140038,103899,159146.34146341463
361289,196373,0.004,0.007310344827586207,0.009,139240,88716,159146.34146341463
372701,186636,0.004,0.007310344827586207,0.012,140333,77304,159146.34146341463
381496,188607,0.004,0.007310344827586207,0.015,138361,68511,159146.34146341463
348337,201465,0.004,0.007724137931034483,0.006,138709,101670,153529.4117647059
363064,206395,0.004,0.007724137931034483,0.009,134123,86941,153529.4117647059
374202,197733,0.004,0.007724137931034483,0.012,134917,75801,153529.4117647059
382556,191349,0.004,0.007724137931034483,0.015,136077,67451,153529.4117647059
350676,216284,0.004,0.008137931034482758,0.006,132567,99330,148295.45454545456
364715,208636,0.004,0.008137931034482758,0.009,131745,85288,148295.45454545456
375371,204516,0.004,0.008137931034482758,0.012,131118,74635,148295.45454545456
383766,199305,0.004,0.008137931034482758,0.015,131759,66241,148295.45454545456
352816,231256,0.004,0.008551724137931035,0.006,126579,97191,143406.59340659343
366373,227467,0.004,0.008551724137931035,0.009,124445,83630,143406.59340659343
376596,225633,0.004,0.008551724137931035,0.012,122861,73407,143406.59340659343
384644,208131,0.004,0.008551724137931035,0.015,127399,65365,143406.59340659343
355092,237071,0.004,0.00896551724137931,0.006,123135,94917,138829.78723404257
367912,233338,0.004,0.00896551724137931,0.009,120899,82094,138829.78723404257
377839,227673,0.004,0.00896551724137931,0.012,120757,72166,138829.78723404257
385723,217493,0.004,0.00896551724137931,0.015,122992,64283,138829.78723404257
357197,232699,0.004,0.009379310344827585,0.006,122253,92805,134536.08247422683
369652,237425,0.004,0.009379310344827585,0.009,118240,80357,134536.08247422683
379140,236876,0.004,0.009379310344827585,0.012,116463,70862,134536.08247422683
386544,211356,0.004,0.009379310344827585,0.015,123845,63465,134536.08247422683
358965,248986,0.004,0.009793103448275862,0.006,116422,91040,130500.0
370893,246418,0.004,0.009793103448275862,0.009,114156,79114,130500.0
380248,237327,0.004,0.009793103448275862,0.012,114970,69761,130500.0
387442,239183,0.004,0.009793103448275862,0.015,113164,62567,130500.0
360856,254930,0.004,0.010206896551724139,0.006,113404,89146,126699.02912621362
372326,247558,0.004,0.010206896551724139,0.009,112502,77677,126699.02912621362
381290,247211,0.004,0.010206896551724139,0.012,110595,68719,126699.02912621362
388268,238578,0.004,0.010206896551724139,0.015,112301,61740,126699.02912621362
362778,264751,0.004,0.010620689655172414,0.006,109384,87231,123113.20754716982
373727,257129,0.004,0.010620689655172414,0.009,108423,76279,123113.20754716982
382367,255511,0.004,0.010620689655172414,0.012,107003,67642,123113.20754716982
389165,252271,0.004,0.010620689655172414,0.015,106745,60842,123113.20754716982
364352,257933,0.004,0.011034482758620689,0.006,109129,85654,119724.77064220185
375053,262634,0.004,0.011034482758620689,0.009,105355,74953,119724.77064220185
383463,254928,0.004,0.011034482758620689,0.012,106026,66538,119724.77064220185
389975,257663,0.004,0.011034482758620689,0.015,103857,60033,119724.77064220185
365993,279074,0.004,0.011448275862068966,0.006,102995,84015,116517.85714285714
376264,265021,0.004,0.011448275862068966,0.009,103612,73739,116517.85714285714
384306,260531,0.004,0.011448275862068966,0.012,103141,65700,116517.85714285714
390831,263021,0.004,0.011448275862068966,0.015,101223,59177,116517.85714285714
367600,277724,0.004,0.01186206896551724,0.006,101713,82408,113478.26086956522
377585,275501,0.004,0.01186206896551724,0.009,99525,72424,113478.26086956522
385331,277298,0.004,0.01186206896551724,0.012,97024,64677,113478.26086956522
391628,264572,0.004,0.01186206896551724,0.015,99759,58381,113478.26086956522
369210,272345,0.004,0.012275862068965518,0.006,101386,80799,110593.22033898305
378738,275485,0.004,0.012275862068965518,0.009,98254,71269,110593.22033898305
386322,276443,0.004,0.012275862068965518,0.012,96318,63687,110593.22033898305
392443,272028,0.004,0.012275862068965518,0.015,96451,57558,110593.22033898305
370752,235887,0.004,0.012689655172413793,0.006,107429,79252,107851.23966942151
379839,281630,0.004,0.012689655172413793,0.009,95554,70168,107851.23966942151
387192,269172,0.004,0.012689655172413793,0.012,97400,62811,107851.23966942151
393216,275291,0.004,0.012689655172413793,0.015,94626,56793,107851.23966942151
371979,283597,0.004,0.01310344827586207,0.006,96010,78028,105241.93548387098
380928,280548,0.004,0.01310344827586207,0.009,94594,69078,105241.93548387098
388182,276667,0.004,0.01310344827586207,0.012,94365,61827,105241.93548387098
393858,282195,0.004,0.01310344827586207,0.015,91607,56150,105241.93548387098
373377,295351,0.004,0.013517241379310345,0.006,92214,76630,102755.90551181104
382081,290483,0.004,0.013517241379310345,0.009,91021,67927,102755.90551181104
389097,285726,0.004,0.013517241379310345,0.012,90652,60909,102755.90551181104
394584,287646,0.004,0.013517241379310345,0.015,88984,55424,102755.90551181104
374759,290657,0.004,0.01393103448275862,0.006,91890,75241,100384.61538461539
383119,292279,0.004,0.01393103448275862,0.009,89428,66888,100384.61538461539
389797,284078,0.004,0.01393103448275862,0.012,90245,60210,100384.61538461539
395418,283702,0.004,0.01393103448275862,0.015,89499,54591,100384.61538461539
375980,303379,0.004,0.014344827586206896,0.006,88099,74026,98120.30075187972
384105,298789,0.004,0.014344827586206896,0.009,86844,65900,98120.30075187972
390683,285949,0.004,0.014344827586206896,0.012,88940,59317,98120.30075187972
395922,289015,0.004,0.014344827586206896,0.015,87083,54084,98120.30075187972
377180,287662,0.004,0.014758620689655172,0.006,90246,72828,95955.8823529412
