wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
342628,25001,0.004,0.004,0.006,232423,137376,225000.0
367160,37848,0.004,0.004,0.009,226793,112847,225000.0
383861,31374,0.004,0.004,0.012,228118,96147,225000.0
396502,38375,0.004,0.004,0.015,224715,83508,225000.0
346751,88820,0.004,0.004413793103448276,0.006,208883,133258,213934.4262295082
369619,63961,0.004,0.004413793103448276,0.009,214227,110389,213934.4262295082
385784,65671,0.004,0.004413793103448276,0.012,212465,94225,213934.4262295082
397911,75716,0.004,0.004413793103448276,0.015,207682,82092,213934.4262295082
350370,106743,0.004,0.004827586206896552,0.006,199644,129636,203906.25000000003
372312,94120,0.004,0.004827586206896552,0.009,200963,107688,203906.25000000003
387792,86823,0.004,0.004827586206896552,0.012,202089,92218,203906.25000000003
399350,94373,0.004,0.004827586206896552,0.015,198311,80657,203906.25000000003
353807,127624,0.004,0.005241379310344827,0.006,189744,126199,194776.1194029851
374812,121152,0.004,0.005241379310344827,0.009,188980,105198,194776.1194029851
389519,108576,0.004,0.005241379310344827,0.012,191743,90490,194776.1194029851
400790,110993,0.004,0.005241379310344827,0.015,189866,79210,194776.1194029851
357181,137705,0.004,0.005655172413793104,0.006,183499,122827,186428.57142857142
377105,139482,0.004,0.005655172413793104,0.009,180083,102905,186428.57142857142
391283,133544,0.004,0.005655172413793104,0.012,180507,88726,186428.57142857142
402059,123121,0.004,0.005655172413793104,0.015,183292,77950,186428.57142857142
360390,154424,0.004,0.006068965517241379,0.006,175330,119616,178767.12328767127
379422,139157,0.004,0.006068965517241379,0.009,177516,100585,178767.12328767127
392849,154301,0.004,0.006068965517241379,0.012,170952,87160,178767.12328767127
403317,132909,0.004,0.006068965517241379,0.015,177762,76692,178767.12328767127
363522,158877,0.004,0.006482758620689655,0.006,171189,116488,171710.52631578947
381357,154702,0.004,0.006482758620689655,0.009,170140,98650,171710.52631578947
394707,158072,0.004,0.006482758620689655,0.012,167512,85300,171710.52631578947
404641,162612,0.004,0.006482758620689655,0.015,164891,75369,171710.52631578947
366486,173853,0.004,0.006896551724137931,0.006,164132,113521,165189.87341772154
383580,175854,0.004,0.006896551724137931,0.009,160956,96430,165189.87341772154
396005,170764,0.004,0.006896551724137931,0.012,161276,84004,165189.87341772154
405774,159285,0.004,0.006896551724137931,0.015,164469,74235,165189.87341772154
369183,198210,0.004,0.007310344827586207,0.006,154803,110819,159146.34146341463
385370,183200,0.004,0.007310344827586207,0.009,156599,94636,159146.34146341463
397545,178817,0.004,0.007310344827586207,0.012,156560,82461,159146.34146341463
406916,185876,0.004,0.007310344827586207,0.015,153197,73092,159146.34146341463
371558,197362,0.004,0.007724137931034483,0.006,152293,108450,153529.4117647059
387263,199415,0.004,0.007724137931034483,0.009,149497,92743,153529.4117647059
399152,171441,0.004,0.007724137931034483,0.012,157245,80851,153529.4117647059
408048,194286,0.004,0.007724137931034483,0.015,148558,71960,153529.4117647059
374039,192995,0.004,0.008137931034482758,0.006,150740,105968,148295.45454545456
389011,190730,0.004,0.008137931034482758,0.009,150012,90992,148295.45454545456
400389,195978,0.004,0.008137931034482758,0.012,147337,79618,148295.45454545456
409352,193231,0.004,0.008137931034482758,0.015,147544,70656,148295.45454545456
376314,224564,0.004,0.008551724137931035,0.006,140471,103694,143406.59340659343
390789,208147,0.004,0.008551724137931035,0.009,142958,89214,143406.59340659343
401691,192161,0.004,0.008551724137931035,0.012,146941,78312,143406.59340659343
410288,212858,0.004,0.008551724137931035,0.015,139220,69722,143406.59340659343
378766,226560,0.004,0.00896551724137931,0.006,137894,101244,138829.78723404257
392422,217984,0.004,0.00896551724137931,0.009,138037,87584,138829.78723404257
403024,211405,0.004,0.00896551724137931,0.012,139094,76982,138829.78723404257
411440,213386,0.004,0.00896551724137931,0.015,137713,68567,138829.78723404257
381017,232512,0.004,0.009379310344827585,0.006,134284,98985,134536.08247422683
394296,223448,0.004,0.009379310344827585,0.009,134560,85714,134536.08247422683
404420,229910,0.004,0.009379310344827585,0.012,131596,75582,134536.08247422683
412313,228035,0.004,0.009379310344827585,0.015,131237,67697,134536.08247422683
382892,243277,0.004,0.009793103448275862,0.006,129504,97114,130500.0
395600,250524,0.004,0.009793103448275862,0.009,125261,84408,130500.0
405599,231583,0.004,0.009793103448275862,0.012,129520,74411,130500.0
413272,237749,0.004,0.009793103448275862,0.015,126654,66738,130500.0
384909,244516,0.004,0.010206896551724139,0.006,126970,95093,126699.02912621362
397128,257440,0.004,0.010206896551724139,0.009,121689,82875,126699.02912621362
406710,249387,0.004,0.010206896551724139,0.012,122552,73300,126699.02912621362
414139,230642,0.004,0.010206896551724139,0.015,127903,65870,126699.02912621362
386964,266133,0.004,0.010620689655172414,0.006,120156,93046,123113.20754716982
398636,250571,0.004,0.010620689655172414,0.009,122103,81371,123113.20754716982
407859,246244,0.004,0.010620689655172414,0.012,122258,72151,123113.20754716982
415108,250491,0.004,0.010620689655172414,0.015,120067,64900,123113.20754716982
388639,261230,0.004,0.011034482758620689,0.006,119427,91368,119724.77064220185
400049,253138,0.004,0.011034482758620689,0.009,119837,79958,119724.77064220185
409031,258116,0.004,0.011034482758620689,0.012,117332,70970,119724.77064220185
415961,254880,0.004,0.011034482758620689,0.015,117524,64048,119724.77064220185
390392,268720,0.004,0.011448275862068966,0.006,116074,89617,116517.85714285714
401335,276054,0.004,0.011448275862068966,0.009,112168,78668,116517.85714285714
409911,274737,0.004,0.011448275862068966,0.012,110965,70096,116517.85714285714
416887,249674,0.004,0.011448275862068966,0.015,118141,63122,116517.85714285714
392107,270425,0.004,0.01186206896551724,0.006,114127,87902,113478.26086956522
402758,280999,0.004,0.01186206896551724,0.009,109489,77252,113478.26086956522
411010,268907,0.004,0.01186206896551724,0.012,111658,68999,113478.26086956522
417728,269260,0.004,0.01186206896551724,0.015,110645,62282,113478.26086956522
393825,275207,0.004,0.012275862068965518,0.006,111227,86185,110593.22033898305
403978,283979,0.004,0.012275862068965518,0.009,107490,76030,110593.22033898305
412078,274346,0.004,0.012275862068965518,0.012,108773,67932,110593.22033898305
418595,277903,0.004,0.012275862068965518,0.015,106886,61406,110593.22033898305
395475,279932,0.004,0.012689655172413793,0.006,108841,84530,107851.23966942151
405148,279692,0.004,0.012689655172413793,0.009,107183,74860,107851.23966942151
413000,274359,0.004,0.012689655172413793,0.012,107751,67003,107851.23966942151
419431,261699,0.004,0.012689655172413793,0.015,111154,60579,107851.23966942151
396762,290745,0.004,0.01310344827586207,0.006,104984,83246,105241.93548387098
406307,288657,0.004,0.01310344827586207,0.009,103649,73700,105241.93548387098
414063,287966,0.004,0.01310344827586207,0.012,102653,65947,105241.93548387098
420106,290368,0.004,0.01310344827586207,0.015,101122,59903,105241.93548387098
398268,292543,0.004,0.013517241379310345,0.006,103048,81740,102755.90551181104
407552,289747,0.004,0.013517241379310345,0.009,102303,72457,102755.90551181104
415040,290689,0.004,0.013517241379310345,0.012,100820,64967,102755.90551181104
420882,291360,0.004,0.013517241379310345,0.015,99887,59127,102755.90551181104
399741,295915,0.004,0.01393103448275862,0.006,101043,80259,100384.61538461539
408651,290566,0.004,0.01393103448275862,0.009,100825,71357,100384.61538461539
415782,296529,0.004,0.01393103448275862,0.012,98167,64226,100384.61538461539
421780,296356,0.004,0.01393103448275862,0.015,97312,58230,100384.61538461539
401044,300868,0.004,0.014344827586206896,0.006,98542,78963,98120.30075187972
409710,303041,0.004,0.014344827586206896,0.009,96529,70296,98120.30075187972
416729,301756,0.004,0.014344827586206896,0.012,95872,63271,98120.30075187972
422307,302480,0.004,0.014344827586206896,0.015,94655,57699,98120.30075187972
402309,276593,0.004,0.014758620689655172,0.006,102069,77700,95955.8823529412
410906,277470,0.004,0.014758620689655172,0.009,101741,69104,95955.8823529412
417592,308947,0.004,0.014758620689655172,0.012,92800,62418,95955.8823529412
423101,277523,0.004,0.014758620689655172,0.015,101561,56909,95955.8823529412
403823,297046,0.004,0.015172413793103448,0.006,96649,76187,93884.89208633095
411710,313473,0.004,0.015172413793103448,0.009,91822,68297,93884.89208633095
418312,314204,0.004,0.015172413793103448,0.012,90510,61696,93884.89208633095
423746,306949,0.004,0.015172413793103448,0.015,91810,56257,93884.89208633095
404923,300556,0.004,0.015586206896551724,0.006,94762,75087,91901.40845070424
412783,301295,0.004,0.015586206896551724,0.009,93873,67224,91901.40845070424
419100,309429,0.004,0.015586206896551724,0.012,90997,60910,91901.40845070424
424457,307573,0.004,0.015586206896551724,0.015,90786,55553,91901.40845070424
406239,298898,0.004,0.016,0.006,93903,73768,90000.0
413865,289501,0.004,0.016,0.009,95598,66145,90000.0
419959,303324,0.004,0.016,0.012,91768,60051,90000.0
425067,321548,0.004,0.016,0.015,85856,54942,90000.0
333082,15550,0.004413793103448276,0.004,0.006,240251,146919,236065.57377049178
358246,25156,0.004413793103448276,0.004,0.009,235079,121763,236065.57377049178
376286,20529,0.004413793103448276,0.004,0.012,235325,103724,236065.57377049178
389590,33518,0.004413793103448276,0.004,0.015,229352,90420,236065.57377049178
337023,52961,0.004413793103448276,0.004413793103448276,0.006,224598,142985,225000.0
360984,24540,0.004413793103448276,0.004413793103448276,0.009,231718,119024,225000.0
378190,36277,0.004413793103448276,0.004413793103448276,0.012,226600,101818,225000.0
390964,31776,0.004413793103448276,0.004413793103448276,0.015,227600,89044,225000.0
340852,75769,0.004413793103448276,0.004827586206896552,0.006,213847,139153,214925.37313432834
363868,55299,0.004413793103448276,0.004827586206896552,0.009,217959,116132,214925.37313432834
380175,63112,0.004413793103448276,0.004827586206896552,0.012,214159,99832,214925.37313432834
392622,64153,0.004413793103448276,0.004827586206896552,0.015,212807,87388,214925.37313432834
344531,103223,0.004413793103448276,0.005241379310344827,0.006,202279,135474,205714.28571428574
366539,96397,0.004413793103448276,0.005241379310344827,0.009,201359,113467,205714.28571428574
382078,94948,0.004413793103448276,0.005241379310344827,0.012,200080,97929,205714.28571428574
393987,89223,0.004413793103448276,0.005241379310344827,0.015,201132,86022,205714.28571428574
348070,106653,0.004413793103448276,0.005655172413793104,0.006,197500,131939,197260.27397260274
368906,115467,0.004413793103448276,0.005655172413793104,0.009,192151,111094,197260.27397260274
383929,110450,0.004413793103448276,0.005655172413793104,0.012,192243,96078,197260.27397260274
395424,111910,0.004413793103448276,0.005655172413793104,0.015,190560,84578,197260.27397260274
351335,130148,0.004413793103448276,0.006068965517241379,0.006,187504,128667,189473.68421052632
371186,134999,0.004413793103448276,0.006068965517241379,0.009,183223,108816,189473.68421052632
385621,127752,0.004413793103448276,0.006068965517241379,0.012,183938,94384,189473.68421052632
396943,121090,0.004413793103448276,0.006068965517241379,0.015,185136,83067,189473.68421052632
354485,161129,0.004413793103448276,0.006482758620689655,0.006,175925,125521,182278.48101265822
373592,143166,0.004413793103448276,0.006482758620689655,0.009,178172,106418,182278.48101265822
387445,140946,0.004413793103448276,0.006482758620689655,0.012,177089,92555,182278.48101265822
398279,140910,0.004413793103448276,0.006482758620689655,0.015,176008,81730,182278.48101265822
357543,163712,0.004413793103448276,0.006896551724137931,0.006,172302,122466,175609.75609756098
375593,150399,0.004413793103448276,0.006896551724137931,0.009,173337,104414,175609.75609756098
389023,145748,0.004413793103448276,0.006896551724137931,0.012,173475,90986,175609.75609756098
399552,158861,0.004413793103448276,0.006896551724137931,0.015,167727,80458,175609.75609756098
360569,156156,0.004413793103448276,0.007310344827586207,0.006,171192,119438,169411.76470588235
377645,149339,0.004413793103448276,0.007310344827586207,0.009,171223,102358,169411.76470588235
390722,159325,0.004413793103448276,0.007310344827586207,0.012,166828,89288,169411.76470588235
400809,163418,0.004413793103448276,0.007310344827586207,0.015,164493,79201,169411.76470588235
363096,182273,0.004413793103448276,0.007724137931034483,0.006,161700,116912,163636.36363636365
379758,178011,0.004413793103448276,0.007724137931034483,0.009,160331,100242,163636.36363636365
392111,170810,0.004413793103448276,0.007724137931034483,0.012,161230,87897,163636.36363636365
401973,172915,0.004413793103448276,0.007724137931034483,0.015,159382,78027,163636.36363636365
365694,199796,0.004413793103448276,0.008137931034482758,0.006,154595,114312,158241.75824175822
381796,178409,0.004413793103448276,0.008137931034482758,0.009,158001,98209,158241.75824175822
393800,185982,0.004413793103448276,0.008137931034482758,0.012,154345,86210,158241.75824175822
403054,176264,0.004413793103448276,0.008137931034482758,0.015,156728,76954,158241.75824175822
368183,186981,0.004413793103448276,0.008551724137931035,0.006,155201,111823,153191.48936170214
383640,198856,0.004413793103448276,0.008551724137931035,0.009,149997,96365,153191.48936170214
395056,189847,0.004413793103448276,0.008551724137931035,0.012,151363,84950,153191.48936170214
404188,195411,0.004413793103448276,0.008551724137931035,0.015,148445,75820,153191.48936170214
370654,205848,0.004413793103448276,0.00896551724137931,0.006,148343,109346,148453.6082474227
385295,202270,0.004413793103448276,0.00896551724137931,0.009,147175,94705,148453.6082474227
396441,206252,0.004413793103448276,0.00896551724137931,0.012,144432,83567,148453.6082474227
405386,198926,0.004413793103448276,0.00896551724137931,0.015,145851,74624,148453.6082474227
372863,216241,0.004413793103448276,0.009379310344827585,0.006,143420,107143,144000.0
387028,215348,0.004413793103448276,0.009379310344827585,0.009,141420,92982,144000.0
397795,213733,0.004413793103448276,0.009379310344827585,0.012,140508,82213,144000.0
406442,214400,0.004413793103448276,0.009379310344827585,0.015,139265,73568,144000.0
374986,230830,0.004413793103448276,0.009793103448275862,0.006,137674,105019,139805.82524271842
388643,217515,0.004413793103448276,0.009793103448275862,0.009,139149,91366,139805.82524271842
399062,214254,0.004413793103448276,0.009793103448275862,0.012,138797,80947,139805.82524271842
407387,208320,0.004413793103448276,0.009793103448275862,0.015,139943,72620,139805.82524271842
377208,231108,0.004413793103448276,0.010206896551724139,0.006,135638,102801,135849.05660377358
390394,223980,0.004413793103448276,0.010206896551724139,0.009,135397,89614,135849.05660377358
400324,224014,0.004413793103448276,0.010206896551724139,0.012,134251,79685,135849.05660377358
408367,217063,0.004413793103448276,0.010206896551724139,0.015,135687,71642,135849.05660377358
379192,244109,0.004413793103448276,0.010620689655172414,0.006,130551,100815,132110.09174311926
391758,246236,0.004413793103448276,0.010620689655172414,0.009,127739,88251,132110.09174311926
401577,226193,0.004413793103448276,0.010620689655172414,0.012,132164,78430,132110.09174311926
409407,224419,0.004413793103448276,0.010620689655172414,0.015,131979,70600,132110.09174311926
381235,245653,0.004413793103448276,0.011034482758620689,0.006,128224,98775,128571.42857142858
393434,245022,0.004413793103448276,0.011034482758620689,0.009,126402,86573,128571.42857142858
402749,248336,0.004413793103448276,0.011034482758620689,0.012,124007,77260,128571.42857142858
410324,238434,0.004413793103448276,0.011034482758620689,0.015,126264,69684,128571.42857142858
383010,244912,0.004413793103448276,0.011448275862068966,0.006,126483,96996,125217.39130434781
394707,243613,0.004413793103448276,0.011448275862068966,0.009,125246,85302,125217.39130434781
404048,246449,0.004413793103448276,0.011448275862068966,0.012,123272,75962,125217.39130434781
411292,249768,0.004413793103448276,0.011448275862068966,0.015,121331,68717,125217.39130434781
384795,253516,0.004413793103448276,0.01186206896551724,0.006,122805,95211,122033.89830508473
396078,259505,0.004413793103448276,0.01186206896551724,0.009,119665,83925,122033.89830508473
404970,242107,0.004413793103448276,0.01186206896551724,0.012,123388,75038,122033.89830508473
412192,249126,0.004413793103448276,0.01186206896551724,0.015,120557,67814,122033.89830508473
386625,267659,0.004413793103448276,0.012275862068965518,0.006,118267,93385,119008.26446280991
397630,269047,0.004413793103448276,0.012275862068965518,0.009,115737,82379,119008.26446280991
406099,262559,0.004413793103448276,0.012275862068965518,0.012,116109,73908,119008.26446280991
413082,258723,0.004413793103448276,0.012275862068965518,0.015,116319,66920,119008.26446280991
388348,277560,0.004413793103448276,0.012689655172413793,0.006,114533,91653,116129.03225806453
398878,270828,0.004413793103448276,0.012689655172413793,0.009,113841,81132,116129.03225806453
407265,260364,0.004413793103448276,0.012689655172413793,0.012,115637,72737,116129.03225806453
414024,261889,0.004413793103448276,0.012689655172413793,0.015,114278,65976,116129.03225806453
389804,277220,0.004413793103448276,0.01310344827586207,0.006,112876,90204,113385.82677165353
400150,275479,0.004413793103448276,0.01310344827586207,0.009,111336,79860,113385.82677165353
408161,262854,0.004413793103448276,0.01310344827586207,0.012,113703,71848,113385.82677165353
414804,270669,0.004413793103448276,0.01310344827586207,0.015,110571,65204,113385.82677165353
391476,284031,0.004413793103448276,0.013517241379310345,0.006,109968,88534,110769.23076923078
401328,280862,0.004413793103448276,0.013517241379310345,0.009,108804,78682,110769.23076923078
409305,282166,0.004413793103448276,0.013517241379310345,0.012,107119,70702,110769.23076923078
415633,275173,0.004413793103448276,0.013517241379310345,0.015,108125,64377,110769.23076923078
392856,281620,0.004413793103448276,0.01393103448275862,0.006,108831,87152,108270.67669172933
402437,279657,0.004413793103448276,0.01393103448275862,0.009,107825,77566,108270.67669172933
410156,278664,0.004413793103448276,0.01393103448275862,0.012,106922,69854,108270.67669172933
416345,279522,0.004413793103448276,0.01393103448275862,0.015,105936,63663,108270.67669172933
394523,289380,0.004413793103448276,0.014344827586206896,0.006,105942,85487,105882.35294117646
403589,292795,0.004413793103448276,0.014344827586206896,0.009,103262,76420,105882.35294117646
411102,288295,0.004413793103448276,0.014344827586206896,0.012,103249,68898,105882.35294117646
417179,283335,0.004413793103448276,0.014344827586206896,0.015,103741,62829,105882.35294117646
395749,291655,0.004413793103448276,0.014758620689655172,0.006,104126,84259,103597.12230215827
404741,296191,0.004413793103448276,0.014758620689655172,0.009,101467,75268,103597.12230215827
412124,292218,0.004413793103448276,0.014758620689655172,0.012,101193,67883,103597.12230215827
418006,288927,0.004413793103448276,0.014758620689655172,0.015,101265,61994,103597.12230215827
397118,285768,0.004413793103448276,0.015172413793103448,0.006,103852,82891,101408.45070422534
405980,301591,0.004413793103448276,0.015172413793103448,0.009,98903,74027,101408.45070422534
412844,285947,0.004413793103448276,0.015172413793103448,0.012,101858,67165,101408.45070422534
418699,294223,0.004413793103448276,0.015172413793103448,0.015,98832,61310,101408.45070422534
398406,294405,0.004413793103448276,0.015586206896551724,0.006,101045,81602,99310.3448275862
406895,301622,0.004413793103448276,0.015586206896551724,0.009,97973,73113,99310.3448275862
413752,303814,0.004413793103448276,0.015586206896551724,0.012,96190,66257,99310.3448275862
419359,299366,0.004413793103448276,0.015586206896551724,0.015,96459,60650,99310.3448275862
399721,301092,0.004413793103448276,0.016,0.006,98459,80285,97297.2972972973
407945,310019,0.004413793103448276,0.016,0.009,94815,72065,97297.2972972973
414679,298656,0.004413793103448276,0.016,0.012,96636,65331,97297.2972972973
420139,303241,0.004413793103448276,0.016,0.015,94544,59871,97297.2972972973
323565,20291,0.004827586206896552,0.004,0.006,243604,156440,246093.75
349942,18765,0.004827586206896552,0.004,0.009,240969,130060,246093.75
368749,13742,0.004827586206896552,0.004,0.012,240833,111251,246093.75
382686,29234,0.004827586206896552,0.004,0.015,233670,97323,246093.75
327766,21634,0.004827586206896552,0.004413793103448276,0.006,238493,152238,235074.62686567166
353005,25424,0.004827586206896552,0.004413793103448276,0.009,235105,127005,235074.62686567166
370983,24446,0.004827586206896552,0.004413793103448276,0.012,234075,109020,235074.62686567166
384278,34918,0.004827586206896552,0.004413793103448276,0.015,229027,95726,235074.62686567166
331844,31147,0.004827586206896552,0.004827586206896552,0.006,231261,148158,225000.0
355702,34290,0.004827586206896552,0.004827586206896552,0.009,228716,124307,225000.0
373080,32043,0.004827586206896552,0.004827586206896552,0.012,228440,106927,225000.0
385998,41192,0.004827586206896552,0.004827586206896552,0.015,224303,94012,225000.0
335618,76158,0.004827586206896552,0.005241379310344827,0.006,214705,144390,215753.42465753423
358431,60346,0.004827586206896552,0.005241379310344827,0.009,217007,121578,215753.42465753423
375082,59520,0.004827586206896552,0.005241379310344827,0.012,216011,104927,215753.42465753423
387492,57614,0.004827586206896552,0.005241379310344827,0.015,215853,92515,215753.42465753423
339334,99795,0.004827586206896552,0.005655172413793104,0.006,204418,140675,207236.84210526312
361162,99831,0.004827586206896552,0.005655172413793104,0.009,201407,118844,207236.84210526312
376785,91858,0.004827586206896552,0.005655172413793104,0.012,202186,103219,207236.84210526312
388930,88233,0.004827586206896552,0.005655172413793104,0.015,202234,91078,207236.84210526312
342702,115944,0.004827586206896552,0.006068965517241379,0.006,196608,137306,199367.08860759495
363575,118827,0.004827586206896552,0.006068965517241379,0.009,192536,116435,199367.08860759495
378646,102274,0.004827586206896552,0.006068965517241379,0.012,196143,101358,199367.08860759495
390443,102098,0.004827586206896552,0.006068965517241379,0.015,195148,89560,199367.08860759495
346030,132511,0.004827586206896552,0.006482758620689655,0.006,188685,133978,192073.1707317073
366002,118171,0.004827586206896552,0.006482758620689655,0.009,190007,114005,192073.1707317073
380648,122755,0.004827586206896552,0.006482758620689655,0.012,186905,99362,192073.1707317073
