wasted_computation_no_offload,wasted_computation_offload,charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
342628,101699,0.004,0.004,0.006,209401,137376,225000.0
367160,85466,0.004,0.004,0.009,210263,112847,225000.0
383861,82378,0.004,0.004,0.012,209019,96147,225000.0
396502,90221,0.004,0.004,0.015,204218,83508,225000.0
346751,131734,0.004,0.004413793103448276,0.006,196339,133258,213934.4262295082
369619,126372,0.004,0.004413793103448276,0.009,193104,110389,213934.4262295082
385784,111195,0.004,0.004413793103448276,0.012,195678,94225,213934.4262295082
397911,92844,0.004,0.004413793103448276,0.015,200955,82092,213934.4262295082
350370,160471,0.004,0.004827586206896552,0.006,184288,129636,203906.25000000003
372312,125922,0.004,0.004827586206896552,0.009,190296,107688,203906.25000000003
387792,129515,0.004,0.004827586206896552,0.012,186536,92218,203906.25000000003
399350,113211,0.004,0.004827586206896552,0.015,190983,80657,203906.25000000003
353807,174502,0.004,0.005241379310344827,0.006,176481,126199,194776.1194029851
374812,151058,0.004,0.005241379310344827,0.009,178991,105198,194776.1194029851
389519,140257,0.004,0.005241379310344827,0.012,180233,90490,194776.1194029851
400790,142194,0.004,0.005241379310344827,0.015,177873,79210,194776.1194029851
357181,177959,0.004,0.005655172413793104,0.006,172305,122827,186428.57142857142
377105,164201,0.004,0.005655172413793104,0.009,172181,102905,186428.57142857142
391283,155909,0.004,0.005655172413793104,0.012,172550,88726,186428.57142857142
402059,155675,0.004,0.005655172413793104,0.015,170925,77950,186428.57142857142
360390,190507,0.004,0.006068965517241379,0.006,165623,119616,178767.12328767127
379422,174181,0.004,0.006068965517241379,0.009,166351,100585,178767.12328767127
392849,180164,0.004,0.006068965517241379,0.012,161877,87160,178767.12328767127
403317,169178,0.004,0.006068965517241379,0.015,164155,76692,178767.12328767127
363522,218540,0.004,0.006482758620689655,0.006,155013,116488,171710.52631578947
381357,188563,0.004,0.006482758620689655,0.009,159261,98650,171710.52631578947
394707,189944,0.004,0.006482758620689655,0.012,156556,85300,171710.52631578947
404641,184132,0.004,0.006482758620689655,0.015,156898,75369,171710.52631578947
366486,212483,0.004,0.006896551724137931,0.006,153827,113521,165189.87341772154
383580,209986,0.004,0.006896551724137931,0.009,150532,96430,165189.87341772154
396005,201514,0.004,0.006896551724137931,0.012,150675,84004,165189.87341772154
405774,196125,0.004,0.006896551724137931,0.015,150862,74235,165189.87341772154
369183,225600,0.004,0.007310344827586207,0.006,147587,110819,159146.34146341463
385370,220682,0.004,0.007310344827586207,0.009,145075,94636,159146.34146341463
397545,217183,0.004,0.007310344827586207,0.012,143625,82461,159146.34146341463
406916,206413,0.004,0.007310344827586207,0.015,145544,73092,159146.34146341463
371558,221181,0.004,0.007724137931034483,0.006,146223,108450,153529.4117647059
387263,230588,0.004,0.007724137931034483,0.009,140004,92743,153529.4117647059
399152,217423,0.004,0.007724137931034483,0.012,141751,80851,153529.4117647059
408048,217543,0.004,0.007724137931034483,0.015,140316,71960,153529.4117647059
374039,260133,0.004,0.008137931034482758,0.006,133925,105968,148295.45454545456
389011,232584,0.004,0.008137931034482758,0.009,137593,90992,148295.45454545456
400389,227737,0.004,0.008137931034482758,0.012,136743,79618,148295.45454545456
409352,227030,0.004,0.008137931034482758,0.015,135506,70656,148295.45454545456
376314,254913,0.004,0.008551724137931035,0.006,133209,103694,143406.59340659343
390789,245433,0.004,0.008551724137931035,0.009,131827,89214,143406.59340659343
401691,239791,0.004,0.008551724137931035,0.012,131310,78312,143406.59340659343
410288,222948,0.004,0.008551724137931035,0.015,135570,69722,143406.59340659343
378766,251264,0.004,0.00896551724137931,0.006,131694,101244,138829.78723404257
392422,258298,0.004,0.00896551724137931,0.009,126374,87584,138829.78723404257
403024,248668,0.004,0.00896551724137931,0.012,126802,76982,138829.78723404257
411440,256419,0.004,0.00896551724137931,0.015,122527,68567,138829.78723404257
381017,265104,0.004,0.009379310344827585,0.006,126409,98985,134536.08247422683
394296,266717,0.004,0.009379310344827585,0.009,122266,85714,134536.08247422683
404420,269363,0.004,0.009379310344827585,0.012,118817,75582,134536.08247422683
412313,253664,0.004,0.009379310344827585,0.015,122434,67697,134536.08247422683
382892,261436,0.004,0.009793103448275862,0.006,125385,97114,130500.0
395600,278978,0.004,0.009793103448275862,0.009,117159,84408,130500.0
405599,262261,0.004,0.009793103448275862,0.012,119877,74411,130500.0
413272,254658,0.004,0.009793103448275862,0.015,120935,66738,130500.0
384909,278522,0.004,0.010206896551724139,0.006,119143,95093,126699.02912621362
397128,278613,0.004,0.010206896551724139,0.009,115713,82875,126699.02912621362
406710,267031,0.004,0.010206896551724139,0.012,117162,73300,126699.02912621362
414139,276567,0.004,0.010206896551724139,0.015,112315,65870,126699.02912621362
386964,284086,0.004,0.010620689655172414,0.006,116255,93046,123113.20754716982
398636,290107,0.004,0.010620689655172414,0.009,111150,81371,123113.20754716982
407859,290183,0.004,0.010620689655172414,0.012,108508,72151,123113.20754716982
415108,268612,0.004,0.010620689655172414,0.015,114014,64900,123113.20754716982
388639,298797,0.004,0.011034482758620689,0.006,111091,91368,119724.77064220185
400049,285081,0.004,0.011034482758620689,0.009,111192,79958,119724.77064220185
409031,288641,0.004,0.011034482758620689,0.012,107968,70970,119724.77064220185
415961,288059,0.004,0.011034482758620689,0.015,106329,64048,119724.77064220185
390392,310972,0.004,0.011448275862068966,0.006,106727,89617,116517.85714285714
401335,304073,0.004,0.011448275862068966,0.009,104556,78668,116517.85714285714
409911,298264,0.004,0.011448275862068966,0.012,103868,70096,116517.85714285714
416887,280437,0.004,0.011448275862068966,0.015,108019,63122,116517.85714285714
392107,311833,0.004,0.01186206896551724,0.006,105219,87902,113478.26086956522
402758,294483,0.004,0.01186206896551724,0.009,105919,77252,113478.26086956522
411010,292559,0.004,0.01186206896551724,0.012,104515,68999,113478.26086956522
417728,286709,0.004,0.01186206896551724,0.015,105005,62282,113478.26086956522
393825,299753,0.004,0.012275862068965518,0.006,105920,86185,110593.22033898305
403978,305516,0.004,0.012275862068965518,0.009,101731,76030,110593.22033898305
412078,305914,0.004,0.012275862068965518,0.012,99480,67932,110593.22033898305
418595,291837,0.004,0.012275862068965518,0.015,102289,61406,110593.22033898305
395475,308039,0.004,0.012689655172413793,0.006,102752,84530,107851.23966942151
405148,317791,0.004,0.012689655172413793,0.009,97391,74860,107851.23966942151
413000,309878,0.004,0.012689655172413793,0.012,97195,67003,107851.23966942151
419431,301242,0.004,0.012689655172413793,0.015,98404,60579,107851.23966942151
396762,309779,0.004,0.01310344827586207,0.006,101110,83246,105241.93548387098
406307,303857,0.004,0.01310344827586207,0.009,99713,73700,105241.93548387098
414063,305600,0.004,0.01310344827586207,0.012,97446,65947,105241.93548387098
420106,317344,0.004,0.01310344827586207,0.015,92477,59903,105241.93548387098
398268,318204,0.004,0.013517241379310345,0.006,97796,81740,102755.90551181104
407552,327180,0.004,0.013517241379310345,0.009,92696,72457,102755.90551181104
415040,310282,0.004,0.013517241379310345,0.012,95211,64967,102755.90551181104
420882,318841,0.004,0.013517241379310345,0.015,91161,59127,102755.90551181104
399741,326322,0.004,0.01393103448275862,0.006,94771,80259,100384.61538461539
408651,328515,0.004,0.01393103448275862,0.009,91168,71357,100384.61538461539
415782,322625,0.004,0.01393103448275862,0.012,90738,64226,100384.61538461539
421780,308111,0.004,0.01393103448275862,0.015,93659,58230,100384.61538461539
401044,334006,0.004,0.014344827586206896,0.006,92138,78963,98120.30075187972
409710,335219,0.004,0.014344827586206896,0.009,88591,70296,98120.30075187972
416729,325357,0.004,0.014344827586206896,0.012,89047,63271,98120.30075187972
422307,316220,0.004,0.014344827586206896,0.015,90323,57699,98120.30075187972
402309,323116,0.004,0.014758620689655172,0.006,93110,77700,95955.8823529412
410906,338138,0.004,0.014758620689655172,0.009,86788,69104,95955.8823529412
417592,329448,0.004,0.014758620689655172,0.012,87029,62418,95955.8823529412
423101,323055,0.004,0.014758620689655172,0.015,87579,56909,95955.8823529412
403823,318818,0.004,0.015172413793103448,0.006,92695,76187,93884.89208633095
411710,335164,0.004,0.015172413793103448,0.009,86680,68297,93884.89208633095
418312,334968,0.004,0.015172413793103448,0.012,84630,61696,93884.89208633095
423746,327096,0.004,0.015172413793103448,0.015,85471,56257,93884.89208633095
404923,329181,0.004,0.015586206896551724,0.006,89483,75087,91901.40845070424
412783,328456,0.004,0.015586206896551724,0.009,87457,67224,91901.40845070424
419100,328536,0.004,0.015586206896551724,0.012,85605,60910,91901.40845070424
424457,330079,0.004,0.015586206896551724,0.015,83927,55553,91901.40845070424
406239,329238,0.004,0.016,0.006,88382,73768,90000.0
413865,338737,0.004,0.016,0.009,83890,66145,90000.0
419959,334206,0.004,0.016,0.012,83212,60051,90000.0
425067,332887,0.004,0.016,0.015,82470,54942,90000.0
333082,87225,0.004413793103448276,0.004,0.006,219117,146919,236065.57377049178
358246,75481,0.004413793103448276,0.004,0.009,217902,121763,236065.57377049178
376286,66465,0.004413793103448276,0.004,0.012,218304,103724,236065.57377049178
389590,67507,0.004413793103448276,0.004,0.015,215981,90420,236065.57377049178
337023,110755,0.004413793103448276,0.004413793103448276,0.006,208072,142985,225000.0
360984,107504,0.004413793103448276,0.004413793103448276,0.009,203922,119024,225000.0
378190,81356,0.004413793103448276,0.004413793103448276,0.012,210081,101818,225000.0
390964,78026,0.004413793103448276,0.004413793103448276,0.015,209627,89044,225000.0
340852,135554,0.004413793103448276,0.004827586206896552,0.006,197056,139153,214925.37313432834
363868,104542,0.004413793103448276,0.004827586206896552,0.009,201746,116132,214925.37313432834
380175,111741,0.004413793103448276,0.004827586206896552,0.012,196586,99832,214925.37313432834
392622,108426,0.004413793103448276,0.004827586206896552,0.015,195817,87388,214925.37313432834
344531,127873,0.004413793103448276,0.005241379310344827,0.006,195212,135474,205714.28571428574
366539,135922,0.004413793103448276,0.005241379310344827,0.009,188366,113467,205714.28571428574
382078,122764,0.004413793103448276,0.005241379310344827,0.012,190129,97929,205714.28571428574
393987,114399,0.004413793103448276,0.005241379310344827,0.015,191581,86022,205714.28571428574
348070,165672,0.004413793103448276,0.005655172413793104,0.006,181375,131939,197260.27397260274
368906,148942,0.004413793103448276,0.005655172413793104,0.009,181388,111094,197260.27397260274
383929,145353,0.004413793103448276,0.005655172413793104,0.012,179965,96078,197260.27397260274
395424,136955,0.004413793103448276,0.005655172413793104,0.015,181136,84578,197260.27397260274
351335,178526,0.004413793103448276,0.006068965517241379,0.006,174715,128667,189473.68421052632
371186,153042,0.004413793103448276,0.006068965517241379,0.009,177507,108816,189473.68421052632
385621,158074,0.004413793103448276,0.006068965517241379,0.012,173325,94384,189473.68421052632
396943,152511,0.004413793103448276,0.006068965517241379,0.015,173532,83067,189473.68421052632
354485,168553,0.004413793103448276,0.006482758620689655,0.006,174022,125521,182278.48101265822
373592,171351,0.004413793103448276,0.006482758620689655,0.009,169401,106418,182278.48101265822
387445,164317,0.004413793103448276,0.006482758620689655,0.012,169122,92555,182278.48101265822
398279,174261,0.004413793103448276,0.006482758620689655,0.015,163818,81730,182278.48101265822
357543,198856,0.004413793103448276,0.006896551724137931,0.006,163290,122466,175609.75609756098
