charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.004,0.004,0.006,218160,128759,225000.0
0.004,0.004,0.009,216315,105797,225000.0
0.004,0.004,0.012,215376,90121,225000.0
0.004,0.004,0.015,214475,78289,225000.0
0.004,0.0042448979591836735,0.006,211264,126310,218316.8316831683
0.004,0.0042448979591836735,0.009,208886,104446,218316.8316831683
0.004,0.0042448979591836735,0.012,206045,88821,218316.8316831683
0.004,0.0042448979591836735,0.015,206302,77365,218316.8316831683
0.004,0.004489795918367347,0.006,200938,124359,212019.2307692308
0.004,0.004489795918367347,0.009,203014,103070,212019.2307692308
0.004,0.004489795918367347,0.012,202988,87929,212019.2307692308
0.004,0.004489795918367347,0.015,203448,76656,212019.2307692308
0.004,0.0047346938775510205,0.006,195913,122162,206074.7663551402
0.004,0.0047346938775510205,0.009,195756,101600,206074.7663551402
0.004,0.0047346938775510205,0.012,194392,86909,206074.7663551402
0.004,0.0047346938775510205,0.015,194479,75750,206074.7663551402
0.004,0.004979591836734694,0.006,193291,120281,200454.54545454547
0.004,0.004979591836734694,0.009,192631,100166,200454.54545454547
0.004,0.004979591836734694,0.012,195695,85715,200454.54545454547
0.004,0.004979591836734694,0.015,189992,75024,200454.54545454547
0.004,0.005224489795918367,0.006,182379,118362,195132.74336283185
0.004,0.005224489795918367,0.009,183917,98674,195132.74336283185
0.004,0.005224489795918367,0.012,187366,84853,195132.74336283185
0.004,0.005224489795918367,0.015,187762,74410,195132.74336283185
0.004,0.005469387755102041,0.006,183549,116535,190086.20689655174
0.004,0.005469387755102041,0.009,178851,97614,190086.20689655174
0.004,0.005469387755102041,0.012,182332,83917,190086.20689655174
0.004,0.005469387755102041,0.015,179011,73642,190086.20689655174
0.004,0.005714285714285714,0.006,179018,114663,185294.1176470588
0.004,0.005714285714285714,0.009,179259,96271,185294.1176470588
0.004,0.005714285714285714,0.012,175762,82942,185294.1176470588
0.004,0.005714285714285714,0.015,177149,72908,185294.1176470588
0.004,0.005959183673469388,0.006,169619,112701,180737.7049180328
0.004,0.005959183673469388,0.009,171379,94917,180737.7049180328
0.004,0.005959183673469388,0.012,175381,82117,180737.7049180328
0.004,0.005959183673469388,0.015,174960,72070,180737.7049180328
0.004,0.006204081632653061,0.006,173826,111074,176400.00000000003
0.004,0.006204081632653061,0.009,172130,93886,176400.00000000003
0.004,0.006204081632653061,0.012,171147,81177,176400.00000000003
0.004,0.006204081632653061,0.015,170924,71426,176400.00000000003
0.004,0.006448979591836735,0.006,169450,109342,172265.625
0.004,0.006448979591836735,0.009,164114,92656,172265.625
0.004,0.006448979591836735,0.012,170546,80287,172265.625
0.004,0.006448979591836735,0.015,169151,70833,172265.625
0.004,0.006693877551020408,0.006,159768,107885,168320.6106870229
0.004,0.006693877551020408,0.009,159062,91481,168320.6106870229
0.004,0.006693877551020408,0.012,165202,79228,168320.6106870229
0.004,0.006693877551020408,0.015,163775,70159,168320.6106870229
0.004,0.0069387755102040816,0.006,161581,106432,164552.23880597018
0.004,0.0069387755102040816,0.009,161507,90378,164552.23880597018
0.004,0.0069387755102040816,0.012,158066,78443,164552.23880597018
0.004,0.0069387755102040816,0.015,162681,69513,164552.23880597018
0.004,0.007183673469387755,0.006,159320,104913,160948.90510948907
0.004,0.007183673469387755,0.009,159454,89332,160948.90510948907
0.004,0.007183673469387755,0.012,159228,77709,160948.90510948907
0.004,0.007183673469387755,0.015,157713,68719,160948.90510948907
0.004,0.0074285714285714285,0.006,154414,103421,157500.00000000003
0.004,0.0074285714285714285,0.009,153975,88057,157500.00000000003
0.004,0.0074285714285714285,0.012,156023,76796,157500.00000000003
0.004,0.0074285714285714285,0.015,156703,68100,157500.00000000003
0.004,0.007673469387755102,0.006,152608,101946,154195.8041958042
0.004,0.007673469387755102,0.009,147803,87130,154195.8041958042
0.004,0.007673469387755102,0.012,150522,76151,154195.8041958042
0.004,0.007673469387755102,0.015,150269,67539,154195.8041958042
0.004,0.007918367346938775,0.006,146195,100502,151027.397260274
0.004,0.007918367346938775,0.009,146487,86172,151027.397260274
0.004,0.007918367346938775,0.012,149604,75351,151027.397260274
0.004,0.007918367346938775,0.015,147908,66924,151027.397260274
0.004,0.00816326530612245,0.006,144016,99246,147986.57718120806
0.004,0.00816326530612245,0.009,144161,85026,147986.57718120806
0.004,0.00816326530612245,0.012,146107,74565,147986.57718120806
0.004,0.00816326530612245,0.015,146795,66286,147986.57718120806
0.004,0.008408163265306122,0.006,144287,97874,145065.7894736842
0.004,0.008408163265306122,0.009,140533,84035,145065.7894736842
0.004,0.008408163265306122,0.012,141820,73848,145065.7894736842
0.004,0.008408163265306122,0.015,143374,65768,145065.7894736842
0.004,0.008653061224489795,0.006,139363,96474,142258.06451612906
0.004,0.008653061224489795,0.009,140585,83088,142258.06451612906
0.004,0.008653061224489795,0.012,136717,73080,142258.06451612906
0.004,0.008653061224489795,0.015,141113,65186,142258.06451612906
0.004,0.00889795918367347,0.006,136459,95364,139556.9620253165
0.004,0.00889795918367347,0.009,132949,82270,139556.9620253165
0.004,0.00889795918367347,0.012,136612,72384,139556.9620253165
0.004,0.00889795918367347,0.015,136919,64619,139556.9620253165
0.004,0.009142857142857144,0.006,131435,94116,136956.52173913043
0.004,0.009142857142857144,0.009,134716,81360,136956.52173913043
0.004,0.009142857142857144,0.012,135760,71566,136956.52173913043
0.004,0.009142857142857144,0.015,135476,64053,136956.52173913043
0.004,0.009387755102040816,0.006,130090,92748,134451.21951219512
0.004,0.009387755102040816,0.009,131069,80431,134451.21951219512
0.004,0.009387755102040816,0.012,132925,70820,134451.21951219512
0.004,0.009387755102040816,0.015,133095,63367,134451.21951219512
0.004,0.009632653061224489,0.006,125649,91766,132035.9281437126
0.004,0.009632653061224489,0.009,128451,79652,132035.9281437126
0.004,0.009632653061224489,0.012,131279,70280,132035.9281437126
0.004,0.009632653061224489,0.015,131044,62955,132035.9281437126
0.004,0.009877551020408163,0.006,129083,90459,129705.88235294119
0.004,0.009877551020408163,0.009,126011,78784,129705.88235294119
0.004,0.009877551020408163,0.012,129405,69608,129705.88235294119
0.004,0.009877551020408163,0.015,128885,62411,129705.88235294119
0.004,0.010122448979591837,0.006,122714,89360,127456.64739884394
0.004,0.010122448979591837,0.009,127075,77983,127456.64739884394
0.004,0.010122448979591837,0.012,124801,68958,127456.64739884394
0.004,0.010122448979591837,0.015,126593,61856,127456.64739884394
0.004,0.01036734693877551,0.006,124886,88507,125284.09090909091
0.004,0.01036734693877551,0.009,122429,77135,125284.09090909091
0.004,0.01036734693877551,0.012,124900,68285,125284.09090909091
0.004,0.01036734693877551,0.015,123985,61353,125284.09090909091
0.004,0.010612244897959183,0.006,122964,87235,123184.35754189946
0.004,0.010612244897959183,0.009,119678,76337,123184.35754189946
0.004,0.010612244897959183,0.012,122160,67642,123184.35754189946
