charge_rate,discharge_rate,AI_computation,offload,no_offload,best_offload
0.001,0.001,0.001,130201,99855,150000.0
0.001,0.001,0.002,129173,75436,150000.0
0.001,0.001,0.0029999999999999996,131497,60112,150000.0
0.001,0.001,0.003999999999999999,130404,50216,150000.0
0.001,0.001,0.004999999999999999,124800,42544,150000.0
0.001,0.001,0.005999999999999999,126121,37670,150000.0
0.001,0.001,0.006999999999999998,130859,33449,150000.0
0.001,0.001,0.007999999999999998,123671,29894,150000.0
0.001,0.001,0.008999999999999998,130658,27160,150000.0
0.001,0.001,0.009999999999999998,129695,25176,150000.0
0.001,0.001,0.011,127069,23280,150000.0
0.001,0.001,0.011999999999999997,128631,21490,150000.0
0.001,0.001,0.012999999999999998,131030,20135,150000.0
0.001,0.001,0.013999999999999999,126782,18877,150000.0
0.001,0.001,0.015,130146,17727,150000.0
0.001,0.0014117647058823528,0.001,116539,88217,124390.24390243905
0.001,0.0014117647058823528,0.002,111458,68555,124390.24390243905
0.001,0.0014117647058823528,0.0029999999999999996,111672,55634,124390.24390243905
0.001,0.0014117647058823528,0.003999999999999999,110920,46926,124390.24390243905
0.001,0.0014117647058823528,0.004999999999999999,112500,40893,124390.24390243905
0.001,0.0014117647058823528,0.005999999999999999,115742,35855,124390.24390243905
0.001,0.0014117647058823528,0.006999999999999998,116993,31892,124390.24390243905
0.001,0.0014117647058823528,0.007999999999999998,118648,28856,124390.24390243905
0.001,0.0014117647058823528,0.008999999999999998,114465,26539,124390.24390243905
0.001,0.0014117647058823528,0.009999999999999998,116968,24256,124390.24390243905
0.001,0.0014117647058823528,0.011,113776,22427,124390.24390243905
0.001,0.0014117647058823528,0.011999999999999997,109397,20876,124390.24390243905
0.001,0.0014117647058823528,0.012999999999999998,111855,19583,124390.24390243905
0.001,0.0014117647058823528,0.013999999999999999,114047,18349,124390.24390243905
0.001,0.0014117647058823528,0.015,117557,17108,124390.24390243905
0.001,0.0018235294117647058,0.001,101832,78920,106250.00000000001
0.001,0.0018235294117647058,0.002,101951,62615,106250.00000000001
0.001,0.0018235294117647058,0.0029999999999999996,95039,51795,106250.00000000001
0.001,0.0018235294117647058,0.003999999999999999,101426,43638,106250.00000000001
0.001,0.0018235294117647058,0.004999999999999999,91962,38624,106250.00000000001
0.001,0.0018235294117647058,0.005999999999999999,98649,34228,106250.00000000001
0.001,0.0018235294117647058,0.006999999999999998,93124,30488,106250.00000000001
0.001,0.0018235294117647058,0.007999999999999998,102467,28061,106250.00000000001
0.001,0.0018235294117647058,0.008999999999999998,99350,25618,106250.00000000001
0.001,0.0018235294117647058,0.009999999999999998,101439,23598,106250.00000000001
0.001,0.0018235294117647058,0.011,92900,21796,106250.00000000001
0.001,0.0018235294117647058,0.011999999999999997,91554,20302,106250.00000000001
0.001,0.0018235294117647058,0.012999999999999998,95481,18973,106250.00000000001
0.001,0.0018235294117647058,0.013999999999999999,100964,17731,106250.00000000001
0.001,0.0018235294117647058,0.015,97622,16795,106250.00000000001
0.001,0.002235294117647059,0.001,90693,70467,92727.27272727274
0.001,0.002235294117647059,0.002,87147,56958,92727.27272727274
0.001,0.002235294117647059,0.0029999999999999996,86781,48428,92727.27272727274
0.001,0.002235294117647059,0.003999999999999999,86705,41823,92727.27272727274
0.001,0.002235294117647059,0.004999999999999999,88624,36559,92727.27272727274
0.001,0.002235294117647059,0.005999999999999999,83318,32561,92727.27272727274
0.001,0.002235294117647059,0.006999999999999998,83625,29058,92727.27272727274
0.001,0.002235294117647059,0.007999999999999998,85373,26966,92727.27272727274
0.001,0.002235294117647059,0.008999999999999998,87076,24743,92727.27272727274
0.001,0.002235294117647059,0.009999999999999998,89932,22725,92727.27272727274
0.001,0.002235294117647059,0.011,84768,21182,92727.27272727274
0.001,0.002235294117647059,0.011999999999999997,89156,19824,92727.27272727274
0.001,0.002235294117647059,0.012999999999999998,90376,18599,92727.27272727274
0.001,0.002235294117647059,0.013999999999999999,91804,17418,92727.27272727274
0.001,0.002235294117647059,0.015,89947,16483,92727.27272727274
0.001,0.0026470588235294116,0.001,82045,64903,82258.06451612904
0.001,0.0026470588235294116,0.002,79809,53559,82258.06451612904
0.001,0.0026470588235294116,0.0029999999999999996,79766,44960,82258.06451612904
0.001,0.0026470588235294116,0.003999999999999999,75233,39565,82258.06451612904
0.001,0.0026470588235294116,0.004999999999999999,75071,34896,82258.06451612904
0.001,0.0026470588235294116,0.005999999999999999,74902,31078,82258.06451612904
0.001,0.0026470588235294116,0.006999999999999998,79323,28081,82258.06451612904
0.001,0.0026470588235294116,0.007999999999999998,73900,25985,82258.06451612904
0.001,0.0026470588235294116,0.008999999999999998,74948,23924,82258.06451612904
0.001,0.0026470588235294116,0.009999999999999998,75893,22104,82258.06451612904
0.001,0.0026470588235294116,0.011,76356,20618,82258.06451612904
0.001,0.0026470588235294116,0.011999999999999997,76700,19284,82258.06451612904
0.001,0.0026470588235294116,0.012999999999999998,79062,18039,82258.06451612904
0.001,0.0026470588235294116,0.013999999999999999,76486,17106,82258.06451612904
0.001,0.0026470588235294116,0.015,75789,16171,82258.06451612904
0.001,0.0030588235294117644,0.001,72553,59053,73913.04347826088
0.001,0.0030588235294117644,0.002,72031,49775,73913.04347826088
0.001,0.0030588235294117644,0.0029999999999999996,69888,42609,73913.04347826088
0.001,0.0030588235294117644,0.003999999999999999,71327,37377,73913.04347826088
0.001,0.0030588235294117644,0.004999999999999999,67734,33153,73913.04347826088
0.001,0.0030588235294117644,0.005999999999999999,72140,29601,73913.04347826088
0.001,0.0030588235294117644,0.006999999999999998,71624,27451,73913.04347826088
0.001,0.0030588235294117644,0.007999999999999998,68806,25102,73913.04347826088
0.001,0.0030588235294117644,0.008999999999999998,71198,23030,73913.04347826088
0.001,0.0030588235294117644,0.009999999999999998,69488,21463,73913.04347826088
0.001,0.0030588235294117644,0.011,68815,19977,73913.04347826088
0.001,0.0030588235294117644,0.011999999999999997,73438,18662,73913.04347826088
0.001,0.0030588235294117644,0.012999999999999998,71180,17692,73913.04347826088
0.001,0.0030588235294117644,0.013999999999999999,70575,16486,73913.04347826088
0.001,0.0030588235294117644,0.015,66026,15615,73913.04347826088
0.001,0.0034705882352941177,0.001,65967,55323,67105.26315789473
0.001,0.0034705882352941177,0.002,65367,46366,67105.26315789473
0.001,0.0034705882352941177,0.0029999999999999996,64829,40599,67105.26315789473
0.001,0.0034705882352941177,0.003999999999999999,64990,35638,67105.26315789473
0.001,0.0034705882352941177,0.004999999999999999,63441,31671,67105.26315789473
0.001,0.0034705882352941177,0.005999999999999999,65669,28414,67105.26315789473
0.001,0.0034705882352941177,0.006999999999999998,63366,26485,67105.26315789473
